"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 22, 2016","62.10","62.10","62.10","62.10","0.01K","-0.24%"
"Sep 21, 2016","62.25","62.25","62.25","62.25","0.02K","1.22%"
"Sep 20, 2016","61.50","61.50","61.50","61.50","-","0.00%"
"Sep 19, 2016","61.50","61.50","61.50","61.50","0.01K","0.65%"
"Sep 16, 2016","61.10","61.10","61.10","61.10","0.02K","0.00%"
"Sep 15, 2016","61.10","61.10","61.10","61.10","0.01K","0.99%"
"Sep 14, 2016","60.50","60.50","60.50","60.50","-","-0.49%"
"Sep 13, 2016","60.80","60.80","60.80","60.80","-","0.75%"
"Sep 12, 2016","60.35","60.35","60.35","60.35","0.05K","0.42%"
"Sep 09, 2016","60.10","60.10","60.10","60.10","-","0.42%"
"Sep 08, 2016","59.85","59.85","59.85","59.85","0.04K","-1.07%"
"Sep 07, 2016","60.50","60.70","60.70","60.70","0.01K","-2.02%"
"Sep 06, 2016","61.75","61.75","61.75","61.75","0.06K","0.32%"
"Sep 05, 2016","61.55","61.55","61.55","61.55","0.07K","-0.57%"
"Sep 02, 2016","61.90","61.90","61.90","61.90","0.04K","1.06%"
"Sep 01, 2016","61.25","61.25","61.25","61.25","0.06K","-0.08%"
"Aug 31, 2016","61.30","61.30","61.30","61.30","0.06K","0.16%"
"Aug 30, 2016","61.20","61.20","61.20","61.20","-","2.43%"
"Aug 29, 2016","59.75","59.75","59.75","59.75","-","-0.91%"
"Aug 26, 2016","60.30","60.30","60.30","60.30","-","0.17%"
"Aug 25, 2016","60.20","60.20","60.20","60.20","-","0.50%"
"Aug 24, 2016","59.90","59.90","59.90","59.90","-","-0.25%"
"Aug 23, 2016","60.05","60.05","60.05","60.05","-","-0.50%"
"Aug 22, 2016","60.35","60.35","60.35","60.35","-","0.42%"
"Aug 19, 2016","60.10","60.10","60.10","60.10","-","-0.66%"
"Aug 18, 2016","60.50","60.50","60.50","60.50","-","-0.90%"
"Aug 17, 2016","61.05","61.05","61.05","61.05","-","0.00%"
"Aug 16, 2016","61.05","61.05","61.05","61.05","0.08K","0.08%"
"Aug 15, 2016","61.00","61.00","61.00","61.00","0.01K","-0.73%"
"Aug 12, 2016","61.45","61.45","61.45","61.45","0.01K","0.74%"
"Aug 11, 2016","61.00","60.30","60.30","60.30","0.01K","2.18%"
"Aug 10, 2016","59.70","59.70","59.70","59.70","0.03K","-1.81%"
"Aug 09, 2016","60.80","60.80","60.80","60.80","0.01K","1.08%"
"Aug 08, 2016","60.15","60.15","60.15","60.15","0.04K","4.16%"
"Aug 05, 2016","57.75","58.75","58.75","58.35","0.15K","-2.37%"
"Aug 04, 2016","59.15","60.40","60.40","60.25","0.13K","-3.19%"
"Aug 03, 2016","61.10","61.20","61.20","61.10","0.15K","-0.81%"
"Aug 02, 2016","61.60","61.60","61.60","61.60","0.05K","-0.24%"
"Aug 01, 2016","61.75","61.75","61.75","61.75","0.10K","8.05%"
"Jul 29, 2016","57.15","57.15","57.15","57.15","-","0.00%"
"Jul 28, 2016","57.15","57.15","57.15","57.15","-","-0.09%"
"Jul 27, 2016","57.20","57.20","57.20","57.20","-","0.18%"
"Jul 26, 2016","57.10","57.10","57.10","57.10","0.01K","0.18%"
"Jul 25, 2016","57.00","57.00","57.00","57.00","-","0.53%"
"Jul 22, 2016","56.70","56.70","56.70","56.70","0.01K","-0.44%"
"Jul 21, 2016","56.95","56.95","56.95","56.95","-","0.00%"
"Jul 20, 2016","56.95","56.95","56.95","56.95","0.08K","-0.35%"
"Jul 19, 2016","57.15","57.15","57.15","57.15","-","-0.78%"
"Jul 18, 2016","57.60","57.60","57.60","57.60","0.04K","-0.60%"
"Jul 15, 2016","57.95","57.95","57.95","57.95","0.05K","-0.26%"
"Jul 14, 2016","58.10","58.10","58.10","58.10","0.01K","-0.17%"
"Jul 13, 2016","58.20","58.20","58.20","58.20","0.01K","0.87%"
"Jul 12, 2016","57.70","57.70","57.70","57.70","-","2.40%"
"Jul 11, 2016","56.35","56.35","56.35","56.35","0.07K","-0.18%"
"Jul 08, 2016","56.45","56.45","56.45","56.45","0.14K","-1.14%"
"Jul 07, 2016","57.10","57.10","57.10","57.10","0.10K","0.97%"
"Jul 06, 2016","56.55","56.55","56.55","56.55","0.02K","0.00%"
"Jul 05, 2016","56.55","56.55","56.55","56.55","0.01K","-0.88%"
"Jul 04, 2016","57.05","57.05","57.05","57.05","0.06K","1.15%"
"Jul 01, 2016","56.40","56.40","56.40","56.40","-","2.55%"
"Jun 30, 2016","55.00","55.00","55.00","55.00","-","2.33%"
"Jun 29, 2016","53.75","53.75","53.75","53.75","0.02K","0.56%"
"Jun 28, 2016","53.45","53.45","53.45","53.45","0.06K","0.85%"
"Jun 27, 2016","53.00","53.15","53.15","53.15","0.04K","3.31%"
"Jun 24, 2016","51.30","51.30","51.30","51.30","-","0.00%"
"Jun 23, 2016","51.30","51.30","51.30","51.30","-","0.00%"
"Jun 22, 2016","51.30","51.30","51.30","51.30","-","0.20%"
"Jun 21, 2016","51.20","51.20","51.20","51.20","-","-0.58%"
"Jun 20, 2016","51.50","51.50","51.50","51.50","-","1.18%"
"Jun 17, 2016","50.90","51.00","51.00","51.00","0.00K","0.39%"
"Jun 16, 2016","50.70","50.70","50.70","50.70","-","0.20%"
"Jun 15, 2016","50.60","50.60","50.60","50.60","0.02K","0.30%"
"Jun 14, 2016","50.45","50.45","50.45","50.45","-","0.10%"
"Jun 13, 2016","50.40","50.40","50.40","50.40","0.02K","0.10%"
"Jun 10, 2016","50.35","50.80","50.80","50.80","0.00K","-0.79%"
"Jun 09, 2016","50.75","50.85","50.85","50.85","0.16K","-0.49%"
"Jun 08, 2016","51.00","51.00","51.00","51.00","0.03K","-1.83%"
"Jun 07, 2016","51.95","52.00","52.00","52.00","0.03K","-1.24%"
"Jun 06, 2016","52.60","53.00","53.00","53.00","0.04K","1.54%"
"Jun 03, 2016","51.80","51.90","51.90","51.90","0.02K","1.37%"
"Jun 02, 2016","51.10","51.10","51.10","51.10","0.04K","0.69%"
"Jun 01, 2016","50.75","50.75","50.75","50.75","0.03K","-0.78%"
"May 31, 2016","51.15","51.15","51.15","51.15","0.02K","0.49%"
"May 30, 2016","50.90","50.90","50.90","50.90","-","5.60%"
"May 27, 2016","48.20","48.20","48.20","48.20","-","0.00%"
"May 26, 2016","48.20","48.20","48.20","48.20","-","0.31%"
"May 25, 2016","48.05","48.05","48.05","48.05","-","0.31%"
"May 24, 2016","47.90","47.90","47.90","47.90","-","0.21%"
"May 23, 2016","47.80","47.80","47.80","47.80","-","-0.42%"
"May 20, 2016","48.00","48.00","48.15","48.00","0.06K","0.31%"
"May 19, 2016","47.85","48.00","48.00","47.85","0.01K","-0.42%"
"May 18, 2016","48.05","47.95","47.95","47.95","0.02K","-0.41%"
"May 17, 2016","48.25","48.30","48.30","48.30","0.04K","0.10%"
"May 16, 2016","48.20","48.20","48.20","48.20","0.00K","0.63%"
"May 13, 2016","47.90","47.90","47.90","47.90","-","0.00%"
"May 12, 2016","47.90","48.10","48.10","47.95","0.00K","0.10%"
"May 11, 2016","47.85","47.70","47.75","47.70","0.01K","1.06%"
"May 10, 2016","47.35","47.35","47.35","47.35","0.01K","0.32%"
"May 09, 2016","47.20","47.30","47.30","47.30","0.01K","-0.11%"
"May 06, 2016","47.25","47.20","47.40","47.20","0.03K","1.83%"
"May 05, 2016","46.40","46.40","46.40","46.40","-","1.31%"
"May 04, 2016","45.80","45.80","45.80","45.80","0.17K","0.77%"
"May 03, 2016","45.45","45.45","45.45","45.45","0.11K","-0.87%"
"May 02, 2016","45.85","45.85","45.85","45.85","-","0.22%"
"Apr 29, 2016","45.75","45.75","45.75","45.75","-","0.00%"
